startDate,endDate,MWStd,MW,MSP,THRTEMP,YRHRPRS,RRHRPRS,YRHRTEMPT,RRHRTEMPT,MWD2,HHA11,HHA31,HHA51,HHA71,HHA81,HNA01A,HNA01B,HNA02A,HNA02B,LAE11,LAE12,LAE13,LAE14,LAE21,LAE22,LAE23,LAE24,TOTALCOAL,TAF,O2,FWFLOW,A09M210SHH
2016-03-09 12:01:00,2016-03-09 13:04:00,21.12026277815016,814.441796875,26.9465234375,590.550828125,8.896519999999997,2.5969200000000003,582.781734375,576.8895625,814.2245937499999,80,80,80,60,60,68,68,100,100,1.3202,8.3524,31.9235,29.3329,9.1341,15.2735,35.9566,17.8719,299.3057,2822.4137,3.0833,2096.7273,2799.9164
2016-03-09 18:45:00,2016-03-09 21:08:00,15.825233021068078,820.0643472222223,27.022109027777777,582.4925833333333,8.75923798611111,2.5486495833333334,583.6482847222222,564.3572708333334,820.0887569444444,80,80,80,80,80,58,58,100,100,0.6366,23.7803,36.4396,0.0,17.1077,17.8666,28.7495,20.1052,300.7453,2809.5593,3.401,2160.9153,2834.2591
2016-03-09 22:59:00,2016-03-09 23:22:00,5.237303993780003,854.5337083333334,28.45645416666667,588.5082916666667,9.5261,2.4794,585.8680416666667,577.1887083333334,854.408375,78,78,78,78,78,55,55,100,100,0.6716,8.5394,34.8367,0.0,66.4174,70.612,91.2306,69.5729,311.3686,2689.3894,3.1557,2094.019,2698.0908
2016-03-09 23:32:00,2016-03-09 23:40:00,4.961640053922823,852.3924444444443,27.925655555555554,587.6718888888888,9.5261,2.4794,585.781888888889,575.7981111111112,853.5432222222223,78,78,78,78,78,55,55,100,100,0.6241,13.604,20.6688,0.0,65.0828,59.0557,89.0927,58.201,293.9261,2507.13,2.8745,1926.1106,2513.4022
2016-03-09 23:42:00,2016-03-09 23:57:00,2.7900371077281254,855.5687499999999,28.2222875,590.41175,9.5261,2.4794,588.6685625,578.681625,855.9981875,78,78,78,78,78,55,55,100,100,0.6582,38.2078,43.7748,0.0,90.6136,92.6111,93.9945,90.9057,299.6973,2632.005,2.9488,2017.0425,2660.0119
2016-03-10 01:39:00,2016-03-10 05:23:00,13.856901086162232,835.9013822222222,27.52961911111111,590.4005555555556,8.957538000000001,2.5714311999999993,587.3384133333334,578.6765511111112,835.9083644444445,80,80,80,80,80,51,51,100,100,0.7942,37.4691,45.2388,0.1131,57.1164,72.6321,85.9705,67.1952,306.1325,2822.2649,3.2979,2111.5657,2821.9624
2016-03-10 08:18:00,2016-03-10 08:30:00,15.048746565980176,839.7641538461537,27.742092307692307,604.7093846153846,8.913780769230769,2.6169338461538465,588.4879230769232,587.1154615384614,841.8121538461539,80,80,80,80,80,100,100,76,76,25.9979,27.2236,27.8635,35.5112,26.7881,42.0036,21.182,42.5648,259.4826,2552.1073,2.4811,1947.1792,2661.6373
2016-03-11 02:16:00,2016-03-11 02:25:00,3.0453485662564006,856.6179,28.330900000000003,595.9165,9.008700000000001,2.92277,594.6387000000001,593.0187,857.4394,80,80,80,60,60,100,100,66,66,12.4267,1.0836,0.0,20.2534,2.0742,19.1453,2.4634,18.3455,273.4177,2809.35,3.1179,2008.1395,2553.645
2016-03-11 02:27:00,2016-03-11 04:11:00,8.184951460154135,847.9629333333332,27.91819523809524,599.8566571428572,9.008700000000001,2.92277,595.2529238095237,594.5492285714286,848.2891047619048,80,80,80,80,80,100,100,75,75,12.2839,7.5798,0.2502,57.3987,11.2608,17.1623,11.5515,16.5608,296.0439,3051.8554,3.2301,2173.201,2826.3982
2016-03-11 04:13:00,2016-03-11 04:26:00,2.8808519821151903,855.4309999999999,28.433199999999996,601.1249285714285,9.008700000000001,2.92277,596.6017142857143,597.8498571428572,855.816714285714,80,80,80,80,80,100,100,75,75,53.6129,9.1619,0.8318,84.1968,9.1978,30.2198,9.4442,29.1972,280.037,2892.1554,2.8735,2032.0132,2651.6796
