date,MWValue,MWState,SELMWValue,SELMWState,MSP,MSPState,MSPS,MSPSState,THRTEMP,THRTEMPState
2016-3-1 09:55:00, 970.023,0x0000, 970.023,0x0008, 30.1221,0x0000, 30.9971,0x0000, 603.183,0x0000
2016-3-1 10:00:00, 981.158,0x0000, 981.158,0x0008, 30.3052,0x0000, 30.9971,0x0000, 605.06, 0x0000
2016-3-1 10:05:00, 982.871,0x0000, 982.871,0x0008, 30.4273,0x0000, 30.9971,0x0000, 599.412,0x0000
2016-3-1 10:10:00, 988.867,0x0000, 988.867,0x0008, 30.464, 0x0000, 30.9995,0x0000, 597.923,0x0000
2016-3-1 10:15:00, 985.44, 0x0000, 985.44, 0x0008, 30.4029,0x0000, 30.9995,0x0000, 597.008,0x0000
2016-3-1 10:20:00, 985.44, 0x0000, 985.44, 0x0008, 30.464, 0x0000, 31.1017,0x0000, 596.704,0x0000
2016-3-1 10:25:00, 986.297,0x0000, 986.297,0x0008, 30.464, 0x0000, 31.0015,0x0000, 598.552,0x0000
2016-3-1 10:30:00, 986.297,0x0000, 986.297,0x0008, 30.525, 0x0000, 31.0015,0x0000, 600.102,0x0000
2016-3-1 10:35:00, 985.44, 0x0000, 985.44, 0x0008, 30.6471,0x0000, 31.0015,0x0000, 598.863,0x0000
2016-3-1 10:40:00, 988.01, 0x0000, 988.01, 0x0008, 30.525, 0x0000, 31.0015,0x0000, 595.399,0x0000
2016-3-1 10:45:00, 985.44, 0x0000, 985.44, 0x0008, 30.525, 0x0000, 31.0015,0x0000, 596.952,0x0000
2016-3-1 10:50:00, 988.01, 0x0000, 988.01, 0x0008, 30.5861,0x0000, 31.0015,0x0000, 600.748,0x0000
2016-3-1 10:55:00, 988.01, 0x0000, 988.01, 0x0008, 31.2576,0x0000, 31.0015,0x0000, 603.253,0x0000
2016-3-1 11:00:00, 986.297,0x0000, 986.297,0x0008, 31.5018,0x0000, 31.0015,0x0000, 598.872,0x0000
2016-3-1 11:05:00, 984.584,0x0000, 984.584,0x0008, 31.3187,0x0000, 31.0015,0x0000, 595.427,0x0000
2016-3-1 11:10:00, 965.74, 0x0000, 965.74, 0x0008, 31.3187,0x0000, 31.1551,0x0000, 594.808,0x0000
2016-3-1 11:15:00, 960.601,0x0000, 960.601,0x0008, 31.8071,0x0000, 31.1968,0x0000, 596.69, 0x0000
2016-3-1 11:20:00, 970.879,0x0000, 970.879,0x0008, 31.8681,0x0000, 30.9886,0x0000, 597.013,0x0000
2016-3-1 11:25:00, 978.588,0x0000, 978.588,0x0008, 31.8071,0x0000, 31.0396,0x0000, 592.237,0x0000
2016-3-1 11:30:00, 957.175,0x0000, 957.175,0x0008, 31.746, 0x0000, 31.1949,0x0000, 587.852,0x0000
2016-3-1 11:35:00, 952.892,0x0000, 952.892,0x0008, 31.3797,0x0000, 30.567, 0x0000, 591.071,0x0000
2016-3-1 11:40:00, 945.183,0x0000, 945.183,0x0008, 31.5629,0x0000, 30.9467,0x0000, 592.641,0x0000
2016-3-1 11:45:00, 940.044,0x0000, 940.044,0x0008, 31.5629,0x0000, 31.0153,0x0000, 589.141,0x0000
2016-3-1 11:50:00, 937.475,0x0000, 937.475,0x0008, 31.1844,0x0000, 30.4198,0x0000, 586.648,0x0000
2016-3-1 11:55:00, 935.762,0x0000, 935.762,0x0008, 31.1233,0x0000, 30.5442,0x0000, 587.617,0x0000
2016-3-1 12:00:00, 926.34, 0x0000, 926.34, 0x0008, 31.1233,0x0000, 30.399, 0x0000, 589.796,0x0000
2016-3-1 12:05:00, 930.622,0x0000, 930.622,0x0008, 30.696, 0x0000, 30.5196,0x0000, 591.707,0x0000
2016-3-1 12:10:00, 903.213,0x0000, 903.213,0x0008, 30.696, 0x0000, 30.2612,0x0000, 589.393,0x0000
2016-3-1 12:15:00, 900.644,0x0000, 900.644,0x0008, 29.8413,0x0000, 29.4771,0x0000, 591.004,0x0000
2016-3-1 12:20:00, 898.074,0x0000, 898.074,0x0000, 30.0244,0x0000, 29.4998,0x0000, 598.298,0x0000
2016-3-1 12:25:00, 904.07, 0x0000, 904.07, 0x0008, 29.9023,0x0000, 29.3946,0x0000, 599.528,0x0000
2016-3-1 12:30:00, 901.5,  0x0000, 901.5,  0x0008, 30.2076,0x0000, 29.6663,0x0000, 601.401,0x0000
2016-3-1 12:35:00, 910.066,0x0000, 910.066,0x0008, 30.2076,0x0000, 29.728, 0x0000, 598.529,0x0000
2016-3-1 12:40:00, 908.353,0x0000, 908.353,0x0008, 30.3297,0x0000, 29.8428,0x0000, 602.326,0x0000
