时间,UNIT3:HHA71AS001XQ01数值,UNIT3:HHA71AS001XQ01状态,UNIT3:HHA72AS001XQ01数值,UNIT3:HHA72AS001XQ01状态,UNIT3:HHA73AS001XQ01数值,UNIT3:HHA73AS001XQ01状态,UNIT3:HHA74AS001XQ01数值,UNIT3:HHA74AS001XQ01状态,UNIT3:HHA81AS001XQ01数值,UNIT3:HHA81AS001XQ01状态,UNIT3:HHA82AS001XQ01数值,UNIT3:HHA82AS001XQ01状态,UNIT3:HHA83AS001XQ01数值,UNIT3:HHA83AS001XQ01状态,UNIT3:HHA84AS001XQ01数值,UNIT3:HHA84AS001XQ01状态,
	2016-3-15 07:50:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 08:00:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 08:10:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 08:20:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 08:30:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 08:40:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 08:50:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 09:00:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 09:10:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 09:20:00,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,
	2016-3-15 09:30:00,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,
	2016-3-15 09:40:00,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,
	2016-3-15 09:50:00,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,	90,	0x0000,
	2016-3-15 10:00:00,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-15 10:10:00,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-15 10:20:00,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-15 10:30:00,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-15 10:40:00,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-15 10:50:00,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-15 11:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 11:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 11:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
